metric,bare_dimension,probed_dimension,group_by,ok,reason,population,rows,dim_distinct,attribution,unattributed_pct,entity_corrected,time_injected,ms,sql_chars,detail
avg_buffering_events,acquisition_channel,session__acquisition_channel,session__acquisition_channel,true,,ok,6,6,n/a,,false,false,31.9,228,
avg_buffering_events,age_group,session__age_group,session__age_group,true,,ok,5,5,n/a,,false,false,40.0,198,
avg_buffering_events,churn_date,session__churn_date__day,session__churn_date__day,true,,ok,1105,1104,n/a,,false,false,62.0,244,
avg_buffering_events,churn_reason,session__churn_reason,session__churn_reason,true,,ok,7,6,n/a,,false,false,47.1,207,
avg_buffering_events,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,44,44,n/a,,false,false,73.5,475,
avg_buffering_events,content_primary_genre,session__content_primary_genre,session__content_primary_genre,true,,ok,11,11,n/a,,false,false,23.1,234,
avg_buffering_events,country,session__country,session__country,true,,ok,15,15,n/a,,false,false,17.2,192,
avg_buffering_events,device_type,session__device_type,session__device_type,true,,ok,4,4,n/a,,false,false,59.3,204,
avg_buffering_events,is_completed,session__is_completed,session__is_completed,true,,ok,2,2,n/a,,false,false,29.0,207,
avg_buffering_events,plan_type,session__plan_type,session__plan_type,true,,ok,3,3,n/a,,false,false,20.1,198,
avg_buffering_events,quality_streamed,session__quality_streamed,session__quality_streamed,true,,ok,3,3,n/a,,false,false,46.8,219,
avg_buffering_events,referral_source,session__referral_source,session__referral_source,true,,ok,5,5,n/a,,false,false,28.9,216,
avg_buffering_events,session_start,session__session_start__day,session__session_start__day,true,,ok,1334,1334,n/a,,false,false,76.5,253,
avg_buffering_events,signup_date,session__signup_date__day,session__signup_date__day,true,,ok,1314,1314,n/a,,false,false,43.1,247,
avg_buffering_events,subscription_status,session__subscription_status,session__subscription_status,true,,ok,3,3,n/a,,false,false,43.1,228,
avg_buffering_events,was_resumed,session__was_resumed,session__was_resumed,true,,ok,2,2,n/a,,false,false,16.9,204,
avg_buffering_events,watch_quality_tier,session__watch_quality_tier,session__watch_quality_tier,true,,ok,3,3,n/a,,false,false,16.7,225,
avg_watch_time,acquisition_channel,session__acquisition_channel,session__acquisition_channel,true,,ok,6,6,n/a,,false,false,13.7,222,
avg_watch_time,age_group,session__age_group,session__age_group,true,,ok,5,5,n/a,,false,false,14.3,192,
avg_watch_time,churn_date,session__churn_date__day,session__churn_date__day,true,,ok,1105,1104,n/a,,false,false,19.1,238,
avg_watch_time,churn_reason,session__churn_reason,session__churn_reason,true,,ok,7,6,n/a,,false,false,16.4,201,
avg_watch_time,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,44,44,n/a,,false,false,36.3,469,
avg_watch_time,content_primary_genre,session__content_primary_genre,session__content_primary_genre,true,,ok,11,11,n/a,,false,false,20.8,228,
avg_watch_time,country,session__country,session__country,true,,ok,15,15,n/a,,false,false,23.4,186,
avg_watch_time,device_type,session__device_type,session__device_type,true,,ok,4,4,n/a,,false,false,38.5,198,
avg_watch_time,is_completed,session__is_completed,session__is_completed,true,,ok,2,2,n/a,,false,false,16.1,201,
avg_watch_time,plan_type,session__plan_type,session__plan_type,true,,ok,3,3,n/a,,false,false,21.8,192,
avg_watch_time,quality_streamed,session__quality_streamed,session__quality_streamed,true,,ok,3,3,n/a,,false,false,21.2,213,
avg_watch_time,referral_source,session__referral_source,session__referral_source,true,,ok,5,5,n/a,,false,false,15.1,210,
avg_watch_time,session_start,session__session_start__day,session__session_start__day,true,,ok,1334,1334,n/a,,false,false,18.3,247,
avg_watch_time,signup_date,session__signup_date__day,session__signup_date__day,true,,ok,1314,1314,n/a,,false,false,19.9,241,
avg_watch_time,subscription_status,session__subscription_status,session__subscription_status,true,,ok,3,3,n/a,,false,false,14.4,222,
avg_watch_time,was_resumed,session__was_resumed,session__was_resumed,true,,ok,2,2,n/a,,false,false,27.0,198,
avg_watch_time,watch_quality_tier,session__watch_quality_tier,session__watch_quality_tier,true,,ok,3,3,n/a,,false,false,23.8,219,
churn_rate,acquisition_channel,subscriber__acquisition_channel,subscriber__acquisition_channel,true,,ok,6,6,n/a,,false,false,31.2,991,
churn_rate,age_group,subscriber__age_group,subscriber__age_group,true,,ok,5,5,n/a,,false,false,39.0,951,
churn_rate,billing_cycle,subscription__billing_cycle,subscription__billing_cycle,true,,ok,2,2,n/a,,false,false,23.8,754,
churn_rate,churn_date,subscriber__churn_date__day,subscriber__churn_date__day,true,,ok,1105,1104,n/a,,false,false,52.0,1003,
churn_rate,churn_reason,subscriber__churn_reason,subscriber__churn_reason,true,,ok,7,6,n/a,,false,false,93.8,963,
churn_rate,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,44,44,n/a,,false,false,193.6,963,
churn_rate,country,subscriber__country,subscriber__country,true,,ok,15,15,n/a,,false,false,39.0,943,
churn_rate,mrr_type,subscription__mrr_type,subscription__mrr_type,true,,ok,5,5,n/a,,false,false,18.3,729,
churn_rate,period_month,subscription__period_month__month,subscription__period_month__month,true,,ok,46,46,n/a,,false,false,15.6,798,
churn_rate,plan_type,subscription__plan_type,subscription__plan_type,true,,ok,3,3,n/a,,false,false,43.0,734,
churn_rate,signup_date,subscriber__signup_date__day,subscriber__signup_date__day,true,,ok,1314,1314,n/a,,false,false,54.8,1007,
churn_rate,subscription_status,subscriber__subscription_status,subscriber__subscription_status,true,,ok,3,3,n/a,,false,false,44.7,991,
churned_subscribers,acquisition_channel,subscriber__acquisition_channel,subscriber__acquisition_channel,true,,ok,6,6,attributed,0.00,false,false,18.0,434,
churned_subscribers,age_group,subscriber__age_group,subscriber__age_group,true,,ok,5,5,attributed,0.00,false,false,19.4,394,
churned_subscribers,churn_date,subscriber__churn_date__day,subscriber__churn_date__day,true,,ok,1105,1104,attributed,0.00,false,false,21.1,432,
churned_subscribers,churn_reason,subscriber__churn_reason,subscriber__churn_reason,true,,ok,7,6,attributed,0.00,false,false,17.2,406,
churned_subscribers,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,44,44,attributed,0.00,false,false,20.8,406,
churned_subscribers,country,subscriber__country,subscriber__country,true,,ok,15,15,attributed,0.00,false,false,24.9,386,
churned_subscribers,plan_type,subscriber__plan_type,subscriber__plan_type,true,,ok,3,3,attributed,0.00,false,false,18.9,394,
churned_subscribers,signup_date,subscriber__signup_date__day,subscriber__signup_date__day,true,,ok,1314,1314,attributed,0.00,false,false,21.3,436,
churned_subscribers,subscription_status,subscriber__subscription_status,subscriber__subscription_status,true,,ok,3,3,attributed,0.00,false,false,19.7,434,
clicked_recommendations,acquisition_channel,subscriber__acquisition_channel,subscriber__acquisition_channel,true,,ok,6,6,attributed,0.00,false,false,20.4,664,
clicked_recommendations,age_group,subscriber__age_group,subscriber__age_group,true,,ok,5,5,attributed,0.00,false,false,19.9,634,
clicked_recommendations,churn_date,subscriber__churn_date__day,subscriber__churn_date__day,true,,ok,1041,1040,unattributed,70.87,false,false,33.7,680,
clicked_recommendations,churn_reason,subscriber__churn_reason,subscriber__churn_reason,true,,ok,7,6,unattributed,70.87,false,false,30.7,643,
clicked_recommendations,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,44,44,attributed,0.00,false,false,27.5,643,
clicked_recommendations,country,subscriber__country,subscriber__country,true,,ok,15,15,attributed,0.00,false,false,37.0,628,
clicked_recommendations,event_timestamp,event__event_timestamp__day,event__event_timestamp__day,true,,ok,1233,1233,attributed,0.00,false,false,21.2,467,
clicked_recommendations,plan_type,subscriber__plan_type,subscriber__plan_type,true,,ok,3,3,attributed,0.00,false,false,24.5,634,
clicked_recommendations,recommendation_type,event__recommendation_type,event__recommendation_type,true,,ok,5,5,attributed,0.00,false,false,34.8,449,
clicked_recommendations,signup_date,subscriber__signup_date__day,subscriber__signup_date__day,true,,ok,1279,1279,attributed,0.00,false,false,20.3,683,
clicked_recommendations,subscription_status,subscriber__subscription_status,subscriber__subscription_status,true,,ok,3,3,attributed,0.00,false,false,26.4,664,
engagement_rate,acquisition_channel,session__acquisition_channel,session__acquisition_channel,true,,ok,6,6,n/a,,false,false,17.1,343,
engagement_rate,age_group,session__age_group,session__age_group,true,,ok,5,5,n/a,,false,false,16.6,303,
engagement_rate,churn_date,session__churn_date__day,session__churn_date__day,true,,ok,1105,1104,n/a,,false,false,18.5,341,
engagement_rate,churn_reason,session__churn_reason,session__churn_reason,true,,ok,7,6,n/a,,false,false,23.5,315,
engagement_rate,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,44,44,n/a,,false,false,36.4,531,
engagement_rate,content_primary_genre,session__content_primary_genre,session__content_primary_genre,true,,ok,11,11,n/a,,false,false,18.9,351,
engagement_rate,country,session__country,session__country,true,,ok,15,15,n/a,,false,false,14.8,295,
engagement_rate,device_type,session__device_type,session__device_type,true,,ok,4,4,n/a,,false,false,15.8,311,
engagement_rate,is_completed,session__is_completed,session__is_completed,true,,ok,2,2,n/a,,false,false,12.5,315,
engagement_rate,plan_type,session__plan_type,session__plan_type,true,,ok,3,3,n/a,,false,false,18.8,303,
engagement_rate,quality_streamed,session__quality_streamed,session__quality_streamed,true,,ok,3,3,n/a,,false,false,11.7,331,
engagement_rate,referral_source,session__referral_source,session__referral_source,true,,ok,5,5,n/a,,false,false,12.0,327,
engagement_rate,session_start,session__session_start__day,session__session_start__day,true,,ok,1334,1334,n/a,,false,false,17.9,353,
engagement_rate,signup_date,session__signup_date__day,session__signup_date__day,true,,ok,1314,1314,n/a,,false,false,17.2,345,
engagement_rate,subscription_status,session__subscription_status,session__subscription_status,true,,ok,3,3,n/a,,false,false,17.2,343,
engagement_rate,was_resumed,session__was_resumed,session__was_resumed,true,,ok,2,2,n/a,,false,false,12.5,311,
engagement_rate,watch_quality_tier,session__watch_quality_tier,session__watch_quality_tier,true,,ok,3,3,n/a,,false,false,17.9,339,
expansion_mrr,acquisition_channel,subscriber__acquisition_channel,subscriber__acquisition_channel,true,,ok,6,6,attributed,0.00,false,false,24.4,643,
expansion_mrr,age_group,subscriber__age_group,subscriber__age_group,true,,ok,5,5,attributed,0.00,false,false,28.0,603,
expansion_mrr,billing_cycle,subscription__billing_cycle,subscription__billing_cycle,true,,ok,2,2,attributed,0.00,false,false,13.9,384,
expansion_mrr,churn_date,subscriber__churn_date__day,subscriber__churn_date__day,true,,ok,74,73,unattributed,93.78,false,false,20.6,641,
expansion_mrr,churn_reason,subscriber__churn_reason,subscriber__churn_reason,true,,ok,7,6,unattributed,93.78,false,false,34.6,615,
expansion_mrr,cohort_month,subscriber__cohort_month,subscriber__cohort_month,true,,ok,43,43,attributed,0.00,false,false,24.3,615,
